file name, XK number, publication ID
MS_1_212_AC_8_10.sdf,XK00001384,1
MS_1_212_AC_16.sdf,XK00001385,14
MS_1_247_Anti.sdf,XK00001378,25
MS_1_247_SYN_AC_16_17.sdf,XK00001397,13
MS_1_252_AC_35_40 (anti amide).sdf,XK00001395,22
MS_1_252_AC_50_65 (syn amide).sdf,XK00001372,10
MS_2_34.sdf,XK00001387,4
MS_2_82.sdf,XK00001388,17
MS_2_84_AC_14_16.sdf,XK00001375,6
MS_2_84_AC_17_18.sdf,XK00001403,26
MS_2_96.sdf,XK00001390,8
MS_2_100_AC_15.sdf,XK00001398,24
MS_2_101.sdf,XK00001391,20
MS_2_102.sdf,XK00001392,21
MS_2_103_AC_15_16.sdf,XK00001373,9
MS_2_104_AC_17.sdf,XK00001396,23
MS_2_105.sdf,XK00001402,19
MS_2_107AC_13.sdf,XK00001377,11
MS_2_109_AC16_ROTA 1.sdf,XK00001383,12
MS_2_117_AC_34_35.sdf,XK00001380,16
MS_2_118_AC_17.sdf,XK00001381,2
MS_2_119_AC_3.sdf,XK00001379,15
MS_2_120_AC .sdf,XK00001382,5
MS_2_121_AC_21.1.fid.sdf,XK00001399,7
MS_2_123_AC31AC2.1.1.r.sdf,XK00001400,18
