plate_barcode, layout_type, well_row, well_column, xk_sample_id, concentration, concentration_units, volume, volume_units, solvent
plate_0000106,c13d10,a,1,,,,,,
plate_0000106,c13d10,a,2,,,,,,
plate_0000106,c13d10,a,3,,,,20,uL,dmso
plate_0000106,c13d10,a,4,,,,20,uL,dmso
plate_0000106,c13d10,a,5,,,,20,uL,dmso
plate_0000106,c13d10,a,6,,,,20,uL,dmso
plate_0000106,c13d10,a,7,,,,20,uL,dmso
plate_0000106,c13d10,a,8,,,,20,uL,dmso
plate_0000106,c13d10,a,9,,,,20,uL,dmso
plate_0000106,c13d10,a,10,,,,20,uL,dmso
plate_0000106,c13d10,a,11,,,,20,uL,dmso
plate_0000106,c13d10,a,12,,,,20,uL,dmso
plate_0000106,c13d10,a,13,,,,20,uL,dmso
plate_0000106,c13d10,a,14,,,,20,uL,dmso
plate_0000106,c13d10,a,15,,,,20,uL,dmso
plate_0000106,c13d10,a,16,,,,20,uL,dmso
plate_0000106,c13d10,a,17,,,,20,uL,dmso
plate_0000106,c13d10,a,18,,,,20,uL,dmso
plate_0000106,c13d10,a,19,,,,20,uL,dmso
plate_0000106,c13d10,a,20,,,,20,uL,dmso
plate_0000106,c13d10,a,21,,,,20,uL,dmso
plate_0000106,c13d10,a,22,,,,20,uL,dmso
plate_0000106,c13d10,a,23,,,,,,
plate_0000106,c13d10,a,24,,,,,,
plate_0000106,c13d10,b,1,,,,,,
plate_0000106,c13d10,b,2,,,,,,
plate_0000106,c13d10,b,3,,,,20,uL,dmso
plate_0000106,c13d10,b,4,,,,20,uL,dmso
plate_0000106,c13d10,b,5,,,,20,uL,dmso
plate_0000106,c13d10,b,6,,,,20,uL,dmso
plate_0000106,c13d10,b,7,,,,20,uL,dmso
plate_0000106,c13d10,b,8,,,,20,uL,dmso
plate_0000106,c13d10,b,9,,,,20,uL,dmso
plate_0000106,c13d10,b,10,,,,20,uL,dmso
plate_0000106,c13d10,b,11,,,,20,uL,dmso
plate_0000106,c13d10,b,12,,,,20,uL,dmso
plate_0000106,c13d10,b,13,,,,20,uL,dmso
plate_0000106,c13d10,b,14,,,,20,uL,dmso
plate_0000106,c13d10,b,15,,,,20,uL,dmso
plate_0000106,c13d10,b,16,,,,20,uL,dmso
plate_0000106,c13d10,b,17,,,,20,uL,dmso
plate_0000106,c13d10,b,18,,,,20,uL,dmso
plate_0000106,c13d10,b,19,,,,20,uL,dmso
plate_0000106,c13d10,b,20,,,,20,uL,dmso
plate_0000106,c13d10,b,21,,,,20,uL,dmso
plate_0000106,c13d10,b,22,,,,20,uL,dmso
plate_0000106,c13d10,b,23,,,,,,
plate_0000106,c13d10,b,24,,,,,,
plate_0000106,c13d10,c,1,,,,,,
plate_0000106,c13d10,c,2,,,,,,
plate_0000106,c13d10,c,3,XK00000498,10,mM,20,uL,dmso
plate_0000106,c13d10,c,4,XK00000498,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,c,5,XK00000498,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,c,6,XK00000498,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,c,7,XK00000498,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,c,8,XK00000498,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,c,9,XK00000498,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,c,10,XK00000498,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,c,11,XK00000498,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,c,12,XK00000498,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,c,13,XK00001540,1.26,mM,20,uL,dmso
plate_0000106,c13d10,c,14,XK00001540,0.42,mM,20,uL,dmso
plate_0000106,c13d10,c,15,XK00001540,0.14,mM,20,uL,dmso
plate_0000106,c13d10,c,16,XK00001540,0.047,mM,20,uL,dmso
plate_0000106,c13d10,c,17,XK00001540,0.016,mM,20,uL,dmso
plate_0000106,c13d10,c,18,XK00001540,0.0052,mM,20,uL,dmso
plate_0000106,c13d10,c,19,XK00001540,0.0017,mM,20,uL,dmso
plate_0000106,c13d10,c,20,XK00001540,0.000566666666667,mM,20,uL,dmso
plate_0000106,c13d10,c,21,XK00001540,0.000188888888889,mM,20,uL,dmso
plate_0000106,c13d10,c,22,XK00001540,6.2962962962963E-05,mM,20,uL,dmso
plate_0000106,c13d10,c,23,,,,,,
plate_0000106,c13d10,c,24,,,,,,
plate_0000106,c13d10,d,1,,,,,,
plate_0000106,c13d10,d,2,,,,,,
plate_0000106,c13d10,d,3,XK00001542,10,mM,20,uL,dmso
plate_0000106,c13d10,d,4,XK00001542,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,d,5,XK00001542,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,d,6,XK00001542,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,d,7,XK00001542,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,d,8,XK00001542,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,d,9,XK00001542,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,d,10,XK00001542,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,d,11,XK00001542,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,d,12,XK00001542,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,d,13,,,,20,uL,dmso
plate_0000106,c13d10,d,14,,,,20,uL,dmso
plate_0000106,c13d10,d,15,,,,20,uL,dmso
plate_0000106,c13d10,d,16,,,,20,uL,dmso
plate_0000106,c13d10,d,17,,,,20,uL,dmso
plate_0000106,c13d10,d,18,,,,20,uL,dmso
plate_0000106,c13d10,d,19,,,,20,uL,dmso
plate_0000106,c13d10,d,20,,,,20,uL,dmso
plate_0000106,c13d10,d,21,,,,20,uL,dmso
plate_0000106,c13d10,d,22,,,,,,
plate_0000106,c13d10,d,23,,,,,,
plate_0000106,c13d10,d,24,,,,,,
plate_0000106,c13d10,e,1,,,,,,
plate_0000106,c13d10,e,2,,,,,,
plate_0000106,c13d10,e,3,XK00001541,10,mM,20,uL,dmso
plate_0000106,c13d10,e,4,XK00001541,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,e,5,XK00001541,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,e,6,XK00001541,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,e,7,XK00001541,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,e,8,XK00001541,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,e,9,XK00001541,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,e,10,XK00001541,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,e,11,XK00001541,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,e,12,XK00001541,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,e,13,,,,20,uL,dmso
plate_0000106,c13d10,e,14,,,,20,uL,dmso
plate_0000106,c13d10,e,15,,,,20,uL,dmso
plate_0000106,c13d10,e,16,,,,20,uL,dmso
plate_0000106,c13d10,e,17,,,,20,uL,dmso
plate_0000106,c13d10,e,18,,,,20,uL,dmso
plate_0000106,c13d10,e,19,,,,20,uL,dmso
plate_0000106,c13d10,e,20,,,,20,uL,dmso
plate_0000106,c13d10,e,21,,,,20,uL,dmso
plate_0000106,c13d10,e,22,,,,,,
plate_0000106,c13d10,e,23,,,,,,
plate_0000106,c13d10,e,24,,,,,,
plate_0000106,c13d10,f,1,,,,,,
plate_0000106,c13d10,f,2,,,,,,
plate_0000106,c13d10,f,3,XK00001539,10,mM,20,uL,dmso
plate_0000106,c13d10,f,4,XK00001539,3.333333333,mM,20,uL,dmso
plate_0000106,c13d10,f,5,XK00001539,1.111111111,mM,20,uL,dmso
plate_0000106,c13d10,f,6,XK00001539,0.37037037,mM,20,uL,dmso
plate_0000106,c13d10,f,7,XK00001539,0.12345679,mM,20,uL,dmso
plate_0000106,c13d10,f,8,XK00001539,0.041152263,mM,20,uL,dmso
plate_0000106,c13d10,f,9,XK00001539,0.013717421,mM,20,uL,dmso
plate_0000106,c13d10,f,10,XK00001539,0.004572473666667,mM,20,uL,dmso
plate_0000106,c13d10,f,11,XK00001539,0.001524157888889,mM,20,uL,dmso
plate_0000106,c13d10,f,12,XK00001539,0.00050805262963,mM,20,uL,dmso
plate_0000106,c13d10,f,13,,,,20,uL,dmso
plate_0000106,c13d10,f,14,,,,20,uL,dmso
plate_0000106,c13d10,f,15,,,,20,uL,dmso
